notes,Contains interplanetary trajectory information and arrival geometry information. All vectors reported in EMO2000,,,,,,,
,,,,,,,,
field_name,key,short_name,datatype_range,sql_datatype,example_value,filtering,computable,description
id,PK,Trajectory ID,Sequence,INTEGER,4,n/a,no,SQL trajectory ID
body_id,FK,Body ID (target),int(0-1000),INTEGER,599,n/a,no,SQL body ID
architecture_id,FK,Architecture ID,int(0-1000),INTEGER,3,n/a,no,SQL architecture ID
t_launch,,Launch date,real(0-36500.000),REAL,10158.751,slider (default),no,Time of launch in days past J2000
t_arr,,Arrival date,real(0-36500.000),REAL,10611.823,slider (default),no,Time of target arrival in days past J2000
v_inf_arr_x,,Arrival V infinity Vector X,real(-100 - 100.000000),REAL,20.971509,slider on magnitude of v infinity arrival (optional),no,x component of interplanetary arrival velocity at target [km/s]
v_inf_arr_y,,Arrival V infinity Vector Y,real(-100 - 100.000000),REAL,10.656459,^,no,y component of interplanetary arrival velocity at target [km/s]
v_inf_arr_z,,Arrival V infinity Vector Z,real(-100 - 100.000000),REAL,-0.652681,^,no,z component of interplanetary arrival velocity at target [km/s]
c3,,Launch C3,real (0-500.000000),REAL,10.584471,slider (default),no,Characteristic energy of launch [km^2/s^2]
dv_total,,Total Cruise DeltaV,real (0-100.000000),REAL,2.8846701,slider (default),no,total DeltaV required for interplanetary trajectory [km/s]
pos_earth_arr_x,,Earth Position @ Arrival X,real(0-10000000000.000),REAL,3903113883,n/a,no,x component of Earth position at time of arrival [km]
pos_earth_arr_y,,Earth Position @ Arrival Y,real(0-10000000000.000),REAL,2155580575,n/a,no,y component of Earth position at time of arrival [km]
pos_earth_arr_z,,Earth Position @ Arrival Z,real(0-10000000000.000),REAL,-134323986,n/a,no,z component of sun position at time of arrival [km]
pos_sc_arr_x,,Spacecraft Position @ Arrival X,real(0-10000000000.000),REAL,3903113883,n/a,no,x component of spacecraft position at time of arrival [km]
pos_sc_arr_y,,Spacecraft Position @ Arrival Y,real(0-10000000000.000),REAL,2155580575,n/a,no,y component of spacecraft position at time of arrival [km]
pos_sc_arr_z,,Spacecraft Position @ Arrival Z,real(0-10000000000.000),REAL,-134323986,n/a,no,z component of spacecraft position at time of arrival [km]
pos_target_arr_x,,Target Position @ Arrival X,real(0-10000000000.000),REAL,3903113883,n/a,no,x component of target position at time of arrival [km]
pos_target_arr_y,,Target Position @ Arrival Y,real(0-10000000000.000),REAL,2155580575,n/a,no,y component of target position at time of arrival [km]
pos_target_arr_z,,Target Position @ Arrival Z,real(0-10000000000.000),REAL,-134323986,n/a,no,z component of target position at time of arrival [km]